Time [min],Reflectance_590,PulseNumber
0.02000,2446.00000,1.0
0.04000,2435.00000,2.0
0.06000,2438.00000,3.0
0.08000,2429.00000,4.0
0.10000,2434.00000,5.0
0.12000,2442.00000,6.0
0.14000,2452.00000,7.0
0.16000,2445.00000,8.0
0.18000,2434.00000,9.0
0.20000,2443.00000,10.0
0.22000,2433.00000,11.0
0.24000,2439.00000,12.0
0.26000,2433.00000,13.0
0.28000,2439.00000,14.0
0.30000,2433.00000,15.0
0.32000,2443.00000,16.0
0.34000,2449.00000,17.0
0.36000,2430.00000,18.0
0.38000,2423.00000,19.0
0.40000,2414.00000,20.0
0.42000,2410.00000,21.0
0.44000,2406.00000,22.0
0.46000,2415.00000,23.0
0.48000,2449.00000,24.0
0.50000,2440.00000,25.0
0.52000,2439.00000,26.0
0.54000,2442.00000,27.0
0.56000,2437.00000,28.0
0.58000,2420.00000,29.0
0.60000,2433.00000,30.0
0.62000,2446.00000,31.0
0.64000,2440.00000,32.0
0.66000,2439.00000,33.0
0.68000,2440.00000,34.0
0.70000,2443.00000,35.0
0.72000,2427.00000,36.0
0.74000,2438.00000,37.0
0.76000,2433.00000,38.0
0.78000,2440.00000,39.0
0.80000,2438.00000,40.0
0.82000,2434.00000,41.0
0.84000,2446.00000,42.0
0.86000,2438.00000,43.0
0.88000,2436.00000,44.0
0.90000,2436.00000,45.0
0.92000,2428.00000,46.0
0.94000,2418.00000,47.0
0.96000,2432.00000,48.0
0.98000,2439.00000,49.0
1.00000,2420.00000,50.0
1.02000,2426.00000,51.0
1.04000,2444.00000,52.0
1.06000,2416.00000,53.0
1.08000,2433.00000,54.0
1.10000,2424.00000,55.0
1.12000,2440.00000,56.0
1.14000,2439.00000,57.0
1.16000,2442.00000,58.0
1.18000,2436.00000,59.0
1.20000,2429.00000,60.0
1.22000,2414.00000,61.0
1.24000,2430.00000,62.0
1.26000,2433.00000,63.0
1.28000,2426.00000,64.0
1.30000,2428.00000,65.0
1.32000,2430.00000,66.0
1.34000,2432.00000,67.0
1.36000,2446.00000,68.0
1.38000,2418.00000,69.0
1.40000,2436.00000,70.0
1.42000,2416.00000,71.0
1.44000,2427.00000,72.0
1.46000,2434.00000,73.0
1.48000,2420.00000,74.0
1.50000,2431.00000,75.0
1.52000,2434.00000,76.0
1.54000,2444.00000,77.0
